GD-474,Land Cruiser,c,1
ZO-174,Golf,a,2
ZS-676,Land Cruiser,c,1
MI-724,Corolla,b,1
NZ-316,Legacy,b,1
DA-171,Corolla,b,1
LD-815,Sorento,c,1
NB-181,Land Cruiser,c,3
CL-199,Sorento,c,1
IF-845,Yaris,a,1
LM-620,Range Rover,c,2
CP-910,Sorento,c,2
OT-312,Range Rover,c,2
FJ-908,Yaris,a,3
SO-313,Golf,a,1
UZ-080,Aygo,a,1
OU-493,Land Cruiser,c,3
ZN-680,Land Cruiser,c,1
CY-573,Corolla,b,3
ZV-932,Land Cruiser,c,1
ET-456,Corolla,b,2
TF-302,Aygo,a,3
XV-426,Corolla,b,3
QK-842,Legacy,b,1
BZ-562,Aygo,a,2
MR-607,Range Rover,c,1
KO-808,Land Cruiser,c,2
ED-814,Range Rover,c,2
ZG-008,Aygo,a,3
XO-649,Corolla,b,1
KC-124,Corolla,b,2
PN-217,Legacy,b,3
BR-288,Passat,b,2
SN-963,Passat,b,2
BA-825,Golf,a,2
AQ-894,Legacy,b,3
UK-428,Corolla,b,2
RZ-013,Aygo,a,3
QG-009,Land Cruiser,c,2
TU-904,Passat,b,2
XM-983,Yaris,a,3
CM-409,Golf,a,1
NR-183,Sorento,c,3
CQ-087,Golf,a,2
SD-031,Corolla,b,1
BV-536,Golf,a,2
KO-778,Sorento,c,3
PO-161,Sorento,c,2
WW-125,Range Rover,c,2
KP-307,Aygo,a,1
QS-001,Land Cruiser,c,3
GK-892,Range Rover,c,2
JV-541,Legacy,b,1
ID-131,Legacy,b,2
XW-381,Aygo,a,2
OT-819,Aygo,a,1
KO-763,Sorento,c,3
EU-119,Sorento,c,3
TR-786,Aygo,a,3
SX-200,Land Cruiser,c,3
IP-569,Golf,a,3
JG-304,Aygo,a,3
ZW-881,Range Rover,c,2
AQ-785,Legacy,b,3
LJ-419,Range Rover,c,2
OJ-821,Land Cruiser,c,3
OR-654,Legacy,b,3
HL-209,Sorento,c,1
BG-829,Land Cruiser,c,3
FZ-824,Corolla,b,2
WG-908,Yaris,a,3
OG-548,Yaris,a,1
XY-741,Yaris,a,3
YO-513,Sorento,c,2
FK-021,Legacy,b,2
AA-988,Golf,a,3
UK-653,Legacy,b,2
FR-250,Legacy,b,1
SC-333,Aygo,a,3
FM-296,Yaris,a,3
QF-877,Land Cruiser,c,1
GZ-805,Yaris,a,2
GN-256,Legacy,b,3
JI-346,Sorento,c,1
HJ-608,Yaris,a,1
TG-396,Aygo,a,1
AE-710,Corolla,b,3
LQ-623,Aygo,a,2
HF-596,Sorento,c,2
KU-569,Land Cruiser,c,3
PG-936,Sorento,c,2
UH-691,Range Rover,c,1
HI-107,Corolla,b,2
XC-662,Aygo,a,2
BY-463,Yaris,a,3
WJ-115,Yaris,a,3
ES-106,Aygo,a,2
FG-665,Sorento,c,3
OU-097,Yaris,a,2
HS-596,Golf,a,1
VJ-500,Yaris,a,1
IU-082,Golf,a,3
LN-990,Yaris,a,3
AQ-740,Legacy,b,1
DA-839,Legacy,b,2
FP-586,Corolla,b,2
EF-035,Yaris,a,1
QX-977,Corolla,b,1
CS-980,Golf,a,1
TB-621,Legacy,b,3
EQ-057,Yaris,a,2
OH-796,Golf,a,1
CN-087,Yaris,a,1
AF-155,Passat,b,2
NT-670,Range Rover,c,2
LP-027,Golf,a,1
UB-637,Aygo,a,1
PO-490,Range Rover,c,2
WL-523,Yaris,a,1
WL-558,Sorento,c,1
LR-786,Range Rover,c,3
XY-051,Golf,a,2
CJ-585,Passat,b,2
VV-389,Land Cruiser,c,3
UY-284,Golf,a,3
VS-247,Legacy,b,2
LN-528,Aygo,a,2
IG-695,Golf,a,2
YI-653,Aygo,a,1
UE-296,Golf,a,2
JX-860,Aygo,a,1
ME-925,Range Rover,c,1
MQ-818,Yaris,a,2
MB-058,Legacy,b,1
TG-992,Passat,b,2
VM-864,Range Rover,c,2
JF-690,Aygo,a,2
OU-384,Sorento,c,2
WS-592,Passat,b,2
LO-010,Yaris,a,2
FE-764,Aygo,a,1
GH-578,Aygo,a,3
OT-270,Land Cruiser,c,3
HQ-777,Yaris,a,1
BL-424,Legacy,b,2
ZT-036,Passat,b,1
OR-421,Legacy,b,2
NI-412,Legacy,b,1
DI-042,Golf,a,1
CX-531,Land Cruiser,c,1
